SAMPLE,GROUP
GSM4869092_20181113_208111931219_01_CJD-15_FC.RCC,CJD
GSM4869093_20181113_208111931219_02_CJD-15_CB.RCC,CJD
GSM4869094_20181113_208111931219_03_CT-44_FC.RCC,CT
GSM4869095_20181113_208111931219_04_CT-44_CB.RCC,CT
GSM4869096_20181113_208111931219_05_CJD-21_FC.RCC,CJD
GSM4869097_20181113_208111931219_06_CJD-21_CB.RCC,CJD
GSM4869098_20181113_208111931219_07_CT-50_FC.RCC,CT
GSM4869099_20181113_208111931219_08_CT-50_CB.RCC,CT
GSM4869100_20181113_208111931219_09_CJD-14_CB.RCC,CJD
GSM4869101_20181113_208111931219_10_CJD-14_FC.RCC,CJD
GSM4869102_20181113_208111931219_11_CT-45_FC.RCC,CT
GSM4869103_20181113_208111961219_01_CT-45_CB.RCC,CT
GSM4869104_20181113_208111961219_02_CJD-10_CB.RCC,CJD
GSM4869105_20181113_208111961219_03_CJD-10_FC.RCC,CJD
GSM4869106_20181113_208111961219_04_CT-52_FC.RCC,CT
GSM4869107_20181113_208111961219_05_CT-52_CB.RCC,CT
GSM4869108_20181113_208111961219_06_CJD-18_CB.RCC,CJD
GSM4869109_20181113_208111961219_07_CJD-18_FC.RCC,CJD
GSM4869110_20181113_208111961219_08_CT-46_FC.RCC,CT
GSM4869111_20181113_208111961219_09_CT-46_CB.RCC,CT
GSM4869112_20181113_208111961219_10_CJD-23_CB.RCC,CJD
GSM4869113_20181113_208111961219_11_CJD-23_FC.RCC,CJD
GSM4869114_20181113_208111961219_12_CT-53_FC.RCC,CT
GSM4869115_20181114_208111951219_01_CT-48_CB.RCC,CT
GSM4869116_20181114_208111951219_02_CJD-19_CB.RCC,CJD
GSM4869117_20181114_208111951219_03_CJD-19_FC.RCC,CJD
GSM4869118_20181114_208111951219_04_CT-55_FC.RCC,CT
GSM4869119_20181114_208111951219_05_CT-55_CB.RCC,CT
GSM4869120_20181114_208111951219_06_CJD-28_CB.RCC,CJD
GSM4869121_20181114_208111951219_07_CJD-28_FC.RCC,CJD
GSM4869122_20181114_208111951219_08_CJD-13_FC.RCC,CJD
GSM4869123_20181114_208111951219_09_CJD-13_CB.RCC,CJD
GSM4869124_20181114_208111951219_10_CJD-35_CB.RCC,CJD
GSM4869125_20181114_208111951219_11_CJD-35_FC.RCC,CJD
GSM4869126_20181114_208111951219_12_CJD-34_FC.RCC,CJD
GSM4869127_20181114_208111971219_01_CT-53_CB.RCC,CT
GSM4869128_20181114_208111971219_02_CJD-29_CB.RCC,CJD
GSM4869129_20181114_208111971219_03_CJD-29_FC.RCC,CJD
GSM4869130_20181114_208111971219_04_CT-47_FC.RCC,CT
GSM4869131_20181114_208111971219_05_CT-47_CB.RCC,CT
GSM4869132_20181114_208111971219_06_CJD-20_CB.RCC,CJD
GSM4869133_20181114_208111971219_07_CJD-20_FC.RCC,CJD
GSM4869134_20181114_208111971219_08_CT-54_FC.RCC,CT
GSM4869135_20181114_208111971219_09_CT-54_CB.RCC,CT
GSM4869136_20181114_208111971219_10_CJD-22_CB.RCC,CJD
GSM4869137_20181114_208111971219_11_CJD-22_FC.RCC,CJD
GSM4869138_20181114_208111971219_12_CT-48_FC.RCC,CT
